load_file,dataset,corruption_name,corruption_severity,Method,BNN,use_pretrained,Tune_last_layer_only,augment_test,seed,val_loss,val_accuracy,base_aic0,base_aic1,base_aic2,up0,up1,up2,elbo,ece
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,snow,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.293036522,67.04,68.68,68.44,68.24,4.24,3.18,2.68,0,0.178452119
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,frost,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.279482499,67.81,68.93,68.83,68.78,4.18,3.14,2.59,0,0.169705182
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,frost,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.274611157,67.65,69.11,68.73,68.62,4.26,3.12,2.59,0,0.169382244
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,frost,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.408731781,65.61,67.44,66.91,66.67,4.51,3.3,2.78,0,0.188168973
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,snow,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.969951161,73.65,74.82,74.47,74.35,3.49,2.68,2.06,0,0.135323673
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,frost,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.88668541,56.88,59.63,58.89,58.55,6.01,4.31,3.75,0,0.238931984
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,frost,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.884143388,56.64,59.23,58.54,58.23,5.57,4.02,3.31,0,0.241973147
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,frost,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.516428927,64.05,66.22,65.68,65.3,5.11,3.83,3.11,0,0.199679971
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,snow,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.094912408,70.51,71.48,71.23,71.13,3.77,2.78,2.28,0,0.157238245
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,gaussian_noise,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.954512513,74.7,75.75,75.44,75.33,3.45,2.58,2.17,0,0.132267356
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,gaussian_noise,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.423038897,33.22,35.77,35.21,34.78,5.47,4.17,3.38,0,0.484166205
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,frost,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,2.230883561,51.91,54.51,53.88,53.5,5.66,4.31,3.63,0,0.288541973
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,snow,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.465454259,63.07,64.68,64.23,63.98,4.73,3.4,2.79,0,0.204651237
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,gaussian_noise,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.977082224,56.12,58.11,57.56,57.27,4.91,3.5,2.85,0,0.270151019
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,gaussian_noise,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.217902553,38.2,40.91,40.14,39.78,5.73,4.16,3.48,0,0.432878613
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,gaussian_noise,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.822279616,31.68,34.79,34.02,33.59,5.67,4.06,3.39,0,0.498134136
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,gaussian_noise,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,4.376128929,25.99,29.58,28.58,28.34,5.49,3.93,3.37,0,0.559481502
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,frost,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.528092485,84.58,85.07,84.99,84.94,2.59,2.05,1.62,0,0.064473748
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,frost,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.867148725,77.1,78,77.79,77.67,3.46,2.45,2.11,0,0.109889612
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,frost,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.475541109,64.58,66.83,66.33,66.05,5.43,4.11,3.41,0,0.184542418
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,snow,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.512033804,85.16,85.79,85.69,85.63,2.09,1.61,1.41,0,0.065319881
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,frost,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.627029677,61.96,64.07,63.6,63.27,5.37,4.28,3.55,0,0.202315256
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,snow,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.112797237,70.85,72.35,71.95,71.74,4.08,3.06,2.55,0,0.15530929
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,frost,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,2.354041016,50.9,54.41,53.33,52.88,6.43,4.73,3.84,0,0.277663827
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,snow,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.864611478,76.31,76.96,76.83,76.71,3.29,2.54,2.1,0,0.117911153
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,snow,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.979526704,73.51,74.46,74.25,74.12,3.61,2.68,2.21,0,0.135238424
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,snow,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.298821267,66.43,68.06,67.62,67.5,4.67,3.33,2.83,0,0.182651415
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,frost,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.503113697,85.35,85.89,85.83,85.72,2.06,1.5,1.25,0,0.063417211
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,frost,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.828142926,78.19,79.18,78.89,78.73,3.29,2.56,2.12,0,0.105085224
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,frost,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.405788222,65.72,67.33,66.95,66.67,4.53,3.33,2.69,0,0.18722856
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,snow,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.542183338,84.31,84.8,84.76,84.76,2.43,1.81,1.47,0,0.069069684
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,frost,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.51611463,63.99,65.83,65.36,65.17,4.58,3.37,2.72,0,0.199181527
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,frost,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,2.230065975,51.8,54.72,54.03,53.61,5.74,4.27,3.47,0,0.289785147
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,snow,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.117321824,71,72.13,71.8,71.55,3.97,2.9,2.37,0,0.154618204
../../../saved_checkpoint/cifar10/cifar10_random_1.model,cifar10c,gaussian_noise,1,random,FALSE,FALSE,FALSE,FALSE,0,1.071576818,71.85,73.04,72.77,72.69,3.89,2.84,2.38,0,0.148482889
../../../saved_checkpoint/cifar10/cifar10_random_1.model,cifar10c,gaussian_noise,2,random,FALSE,FALSE,FALSE,FALSE,0,2.387714182,48.86,50.78,50.17,49.94,5,3.61,3.08,0,0.340338111
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,snow,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.993166022,72.7,74.02,73.72,73.65,3.8,2.82,2.39,0,0.138598099
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,snow,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.25643441,66.93,68.76,68.28,68.09,4.77,3.39,2.7,0,0.175658554
../../../saved_checkpoint/cifar10/cifar10_random_1.model,cifar10c,gaussian_noise,3,random,FALSE,FALSE,FALSE,FALSE,0,3.899336462,30.67,33.11,32.45,32.04,4.8,3.5,2.91,0,0.528349161
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,gaussian_noise,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.81446988,76.81,77.89,77.54,77.45,3.66,2.59,2.12,0,0.107013494
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,gaussian_noise,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.546222941,61.91,63.71,63.19,63.01,4.68,3.4,2.82,0,0.217801601
../../../saved_checkpoint/cifar10/cifar10_random_1.model,cifar10c,gaussian_noise,4,random,FALSE,FALSE,FALSE,FALSE,0,4.52231244,24.5,26.35,25.73,25.5,4.13,3.01,2.52,0,0.603281677
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,gaussian_noise,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,2.456484051,46.31,49.18,48.47,48.06,6.31,4.76,3.95,0,0.349362731
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,gaussian_noise,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,2.959399166,39.11,41.52,40.88,40.53,5.59,4.07,3.52,0,0.421733111
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,gaussian_noise,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.420920909,33.21,35.96,35.28,34.93,5.57,4.17,3.38,0,0.484013349
