,LogPF,LogRmu,LogZmu,LogPF_BNN
77,-110.54008483886719,-0.012159273959696293,-44.39102554321289,69918.6953125
78,-112.02977752685547,-0.0016689287731423974,-44.39102554321289,69918.6953125
79,-102.67029571533203,-0.16258826851844788,-44.39102554321289,69918.6953125
80,-128.44253540039062,-1.2236496210098267,-44.39102554321289,69918.6953125
81,-112.2494888305664,0.0,-44.39102554321289,69918.6953125
82,-111.80340576171875,-589.3993530273438,-44.39102554321289,69918.6953125
83,-115.63088989257812,-5.100809097290039,-44.39102554321289,69918.6953125
84,-119.67448425292969,-0.0008344646776095033,-44.39102554321289,69918.6953125
85,-116.0892333984375,-980.0333251953125,-44.39102554321289,69918.6953125
86,-107.0013198852539,-0.5932478308677673,-44.39102554321289,69918.6953125
87,-111.30249786376953,-0.26437124609947205,-44.39102554321289,69918.6953125
88,-108.84317016601562,-0.002980227814987302,-44.39102554321289,69918.6953125
89,-127.4429931640625,-0.026940936222672462,-44.39102554321289,69918.6953125
90,-106.128662109375,-0.003695481223985553,-44.39102554321289,69918.6953125
91,-121.1712646484375,-46.100093841552734,-44.39102554321289,69918.6953125
92,-113.87702941894531,0.0,-44.39102554321289,69918.6953125
93,-132.1123046875,-1.3772298097610474,-44.39102554321289,69918.6953125
94,-98.95658874511719,-1039.8984375,-44.39102554321289,69918.6953125
95,-107.66143798828125,-108.03885650634766,-44.39102554321289,69918.6953125
96,-117.71023559570312,-0.23409965634346008,-44.39102554321289,69918.6953125
97,-115.15451049804688,-576.9432373046875,-44.39102554321289,69918.6953125
98,-103.09078979492188,-21.011734008789062,-44.39102554321289,69918.6953125
99,-116.37519836425781,-675.4420776367188,-44.39102554321289,69918.6953125
100,-95.271728515625,-635.5621948242188,-44.39102554321289,69918.6953125
101,-114.08369445800781,-1028.926513671875,-44.39102554321289,69918.6953125
102,-105.33387756347656,0.0,-44.39102554321289,69918.6953125
103,-104.99423217773438,-2849.544189453125,-44.39102554321289,69918.6953125
104,-112.50685119628906,0.0,-44.39102554321289,69918.6953125
105,-111.09857177734375,-6.9337944984436035,-44.39102554321289,69918.6953125
106,-121.39695739746094,-0.0070333234034478664,-44.39102554321289,69918.6953125
107,-123.10289001464844,-1.1763803958892822,-44.39102554321289,69918.6953125
108,-111.1539306640625,-616.2134399414062,-44.39102554321289,69918.6953125
109,-110.56451416015625,-465.52081298828125,-44.39102554321289,69918.6953125
110,-99.58937072753906,0.0,-44.39102554321289,69918.6953125
111,-119.26667785644531,-6.226308822631836,-44.39102554321289,69918.6953125
112,-119.59110260009766,-0.4495563507080078,-44.39102554321289,69918.6953125
113,-119.82858276367188,-0.48971104621887207,-44.39102554321289,69918.6953125
114,-116.10420227050781,-34.31235885620117,-44.39102554321289,69918.6953125
115,-115.69969177246094,-81.18341827392578,-44.39102554321289,69918.6953125
116,-117.17755126953125,-146.9987335205078,-44.39102554321289,69918.6953125
117,-108.12611389160156,-24.12359619140625,-44.39102554321289,69918.6953125
118,-105.0880126953125,-37.6090202331543,-44.39102554321289,69918.6953125
119,-117.07222747802734,-0.0778406411409378,-44.39102554321289,69918.6953125
120,-109.17434692382812,0.0,-44.39102554321289,69918.6953125
121,-134.79281616210938,0.0,-44.39102554321289,69918.6953125
122,-110.88841247558594,-12.72181224822998,-44.39102554321289,69918.6953125
123,-138.16372680664062,-0.00047683707089163363,-44.39102554321289,69918.6953125
124,-115.9094009399414,0.0,-44.39102554321289,69918.6953125
125,-106.10791015625,-4.559359073638916,-44.39102554321289,69918.6953125
126,-116.64442443847656,-408.36627197265625,-44.39102554321289,69918.6953125
127,-111.42660522460938,-1.7030035257339478,-44.39102554321289,69918.6953125
128,-108.4287109375,0.0,-44.39102554321289,69918.6953125
129,-121.16150665283203,-0.020622994750738144,-44.39102554321289,69918.6953125
130,-101.56533813476562,-0.04184158518910408,-44.39102554321289,69918.6953125
