,LogPF,LogRmu,LogZmu,LogPF_BNN
99,-167.883056640625,0.0,0.0,111212.703125
100,-172.25454711914062,-0.02396078035235405,0.0,111212.703125
101,-166.50558471679688,-46.764347076416016,0.0,111212.703125
102,-168.56582641601562,-0.0011920923134312034,0.0,111212.703125
103,-164.4422607421875,0.0,0.0,111212.703125
104,-171.13140869140625,-3907.490966796875,0.0,111212.703125
105,-167.93482971191406,-0.0027418097015470266,0.0,111212.703125
106,-164.203369140625,-496.19830322265625,0.0,111212.703125
107,-167.66900634765625,0.0,0.0,111212.703125
108,-171.4467315673828,-0.00011920928227482364,0.0,111212.703125
109,-172.24276733398438,-0.09154854714870453,0.0,111212.703125
110,-167.48452758789062,-3.1665444374084473,0.0,111212.703125
111,-162.39236450195312,-13438.2724609375,0.0,111212.703125
112,-172.59988403320312,-660.1765747070312,0.0,111212.703125
113,-171.65382385253906,0.0,0.0,111212.703125
114,-169.29205322265625,0.0,0.0,111212.703125
115,-170.8803253173828,-5451.896484375,0.0,111212.703125
116,-165.35755920410156,-4051.60400390625,0.0,111212.703125
117,-162.72940063476562,-2012.8511962890625,0.0,111212.703125
118,-173.7269287109375,-5.736792087554932,0.0,111212.703125
119,-168.37881469726562,0.0,0.0,111212.703125
120,-163.2048797607422,-0.005483612418174744,0.0,111212.703125
121,-168.38192749023438,-0.6962974071502686,0.0,111212.703125
122,-163.04269409179688,-199.57505798339844,0.0,111212.703125
123,-167.9525146484375,-0.3027457594871521,0.0,111212.703125
124,-161.164794921875,0.0,0.0,111212.703125
125,-165.76715087890625,-53.00260543823242,0.0,111212.703125
126,-173.37355041503906,-0.019073305651545525,0.0,111212.703125
127,-163.9654541015625,0.0,0.0,111212.703125
128,-178.06349182128906,-14638.8935546875,0.0,111212.703125
129,-161.571044921875,-12488.201171875,0.0,111212.703125
130,-162.13934326171875,-15.314724922180176,0.0,111212.703125
131,-166.51016235351562,-9.853532791137695,0.0,111212.703125
132,-165.82168579101562,-565.8114624023438,0.0,111212.703125
133,-166.64923095703125,-0.003933898638933897,0.0,111212.703125
